player,Off_abbrev,URL
Tyler Bass,BUF,https://www.pro-football-reference.com/req/20180910/images/headshots/BassTy00_2022.jpg
Matt Gay,LAR,https://www.pro-football-reference.com/req/20180910/images/headshots/GayxMa00_2022.jpg
Younghoe Koo,ATL,https://www.pro-football-reference.com/req/20180910/images/headshots/KooxYo00_2022.jpg
Wil Lutz,NOR,https://www.pro-football-reference.com/req/20180910/images/headshots/LutzWi00_2021.jpg
Eddy Pineiro,CAR,https://www.pro-football-reference.com/req/20180910/images/headshots/PineEd00_2022.jpg
Cade York,CLE,https://www.pro-football-reference.com/req/20180910/images/headshots/YorkCa00_2022.jpg
Robbie Gould,SFO,https://www.pro-football-reference.com/req/20180910/images/headshots/gouldrob01_2022.jpg
Cairo Santos,CHI,https://www.pro-football-reference.com/req/20180910/images/headshots/SantCa01_2022.jpg
Evan McPherson,CIN,https://www.pro-football-reference.com/req/20180910/images/headshots/McPhEv00_2022.jpg
Chris Boswell,PIT,https://www.pro-football-reference.com/req/20180910/images/headshots/BoswCh00_2020.jpg
Harrison Butker,KAN,https://www.pro-football-reference.com/req/20180910/images/headshots/ButkHa00_2022.jpg
Matt Prater,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/PratMa20_2022.jpg
Justin Reid,FA,https://www.pro-football-reference.com/req/20180910/images/headshots/ReidJu00_2022.jpg
Ryan Succop,TAM,https://www.pro-football-reference.com/req/20180910/images/headshots/SuccRy44_2022.jpg
Brett Maher,DAL,https://www.pro-football-reference.com/req/20180910/images/headshots/MaheBr01_2019.jpg
Jake Elliott,FA,https://www.pro-football-reference.com/req/20180910/images/headshots/ElliJa03_2022.jpg
Austin Seibert,DET,https://www.pro-football-reference.com/req/20180910/images/headshots/SeibAu00_2022.jpg
Ka'imi Fairbairn,HOU,https://www.pro-football-reference.com/req/20180910/images/headshots/FairKa01_2022.jpg
Rodrigo Blankenship,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/BlanRo03_2022.jpg
Jason Sanders,MIA,https://www.pro-football-reference.com/req/20180910/images/headshots/SandJa00_2022.jpg
Nick Folk,NWE,https://www.pro-football-reference.com/req/20180910/images/headshots/FolkNi20_2022.jpg
Greg Joseph,MIN,https://www.pro-football-reference.com/req/20180910/images/headshots/JoseGr00_2022.jpg
Mason Crosby,GNB,https://www.pro-football-reference.com/req/20180910/images/headshots/CrosMa20_2022.jpg
Greg Zuerlein,NYJ,https://www.pro-football-reference.com/req/20180910/images/headshots/ZuerGr00_2022.jpg
Justin Tucker,BAL,https://www.pro-football-reference.com/req/20180910/images/headshots/TuckJu00_2022.jpg
Graham Gano,NYG,https://www.pro-football-reference.com/req/20180910/images/headshots/GanoGr44_2022.jpg
Randy Bullock,TEN,https://www.pro-football-reference.com/req/20180910/images/headshots/BullRa00_2022.jpg
Daniel Carlson,LVR,https://www.pro-football-reference.com/req/20180910/images/headshots/CarlDa00_2022.jpg
Dustin Hopkins,LAC,https://www.pro-football-reference.com/req/20180910/images/headshots/HopkDu00_2022.jpg
Joey Slye,FA,https://www.pro-football-reference.com/req/20180910/images/headshots/SlyeJo00_2022.jpg
Riley Patterson,JAX,https://www.pro-football-reference.com/req/20180910/images/headshots/PattRi01_2022.jpg
Brandon McManus,DEN,https://www.pro-football-reference.com/req/20180910/images/headshots/McMaBr01_2022.jpg
Jason Myers,SEA,https://www.pro-football-reference.com/req/20180910/images/headshots/MyerJa00_2022.jpg
Matt Ammendola,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/AmmeMa00.jpg
Chase McLaughlin,IND,https://www.pro-football-reference.com/req/20180910/images/headshots/McLaCh00_2021.jpg
Dominik Eberle,DET,https://www.pro-football-reference.com/req/20180910/images/headshots/EberDo01_2021.jpg
Michael Badgley,DET,https://www.pro-football-reference.com/req/20180910/images/headshots/BadgMi00_2021.jpg
Matthew Wright,PIT,https://www.pro-football-reference.com/req/20180910/images/headshots/WrigMa00_2021.jpg
Mitch Wishnowsky,FA,https://www.pro-football-reference.com/req/20180910/images/headshots/WishMi00_2022.jpg
Taylor Bertolet,FA,
Cameron Dicker,LAC,https://www.pro-football-reference.com/req/20180910/images/headshots/DickCa00_2022.jpg
Nick Sciba,PIT,
Tristan Vizcaino,ARI,https://www.pro-football-reference.com/req/20180910/images/headshots/VizcTr00_2022.jpg
Josh Lambo,FA,https://www.pro-football-reference.com/req/20180910/images/headshots/LambJo00_2021.jpg
Caleb Shudak,TEN,https://www.pro-football-reference.com/req/20180910/images/headshots/ShudCa00_2022.jpg
